Move,From_Sqaure,Target_Sqaure,Piece_Moved,Piece_Captured,Is_Check,FEN,Top_10_Moves
d7d5,d7,d5,p,,False,rnbqkbnr/pp1ppppp/2p5/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,"['d7d5', 'g7g6', 'g8f6', 'a7a6', 'd7d6', 'e7e6', 'd8c7', 'h7h6', 'a7a5', 'd8a5']"
c6d5,c6,d5,p,P,False,rnbqkbnr/pp2pppp/2p5/3P4/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 3,"['c6d5', 'd8a5', 'c8g4', 'c8f5', 'g8f6', 'g7g6', 'h7h6', 'd8c7', 'a7a6', 'd8d6']"
g8f6,g8,f6,n,,False,rnbqkbnr/pp2pppp/8/3p4/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 4,"['c8d7', 'a7a6', 'c8g4', 'b8c6', 'g7g6', 'g8f6', 'e7e6', 'c8f5', 'c8e6', 'd8a5']"
b8c6,b8,c6,n,,False,rnbqkb1r/pp2pppp/5n2/3p4/3P4/3B1N2/PPP2PPP/RNBQK2R b KQkq - 2 5,"['c8g4', 'c8d7', 'b8c6', 'd8b6', 'c8e6', 'h7h6', 'g7g6', 'd8a5', 'a7a5', 'a7a6']"
c8g4,c8,g4,b,,False,r1bqkb1r/pp2pppp/2n2n2/3p4/3P4/2PB1N2/PP3PPP/RNBQK2R b KQkq - 0 6,"['c8g4', 'a7a6', 'd8c7', 'g7g6', 'e7e6', 'a7a5', 'h7h6', 'd8b6', 'f6g8', 'f6e4']"
e7e6,e7,e6,p,,False,r2qkb1r/pp2pppp/2n2n2/3p4/3P1Bb1/2PB1N2/PP3PPP/RN1QK2R b KQkq - 2 7,"['d8c8', 'd8d7', 'f6h5', 'e7e6', 'd8b6', 'g7g6', 'a7a6', 'h7h6', 'g4f3', 'a8c8']"
f8d6,f8,d6,b,,False,r2qkb1r/pp3ppp/2n1pn2/3p4/3P1Bb1/2PB1N2/PP1N1PPP/R2QK2R b KQkq - 1 8,"['f8d6', 'f8e7', 'g4h5', 'a8c8', 'f6h5', 'd8b6', 'h7h6', 'a7a6', 'a7a5', 'g7g6']"
d6e7,d6,e7,b,,False,r2qk2r/pp3ppp/2nbpn2/3p2B1/3P2b1/2PB1N2/PP1N1PPP/R2QK2R b KQkq - 3 9,"['d8b6', 'h7h6', 'd8c7', 'a7a5', 'a7a6', 'd8c8', 'g4h5', 'd8b8', 'e8g8', 'd6e7']"
e8g8,e8,g8,k,,False,r2qk2r/pp2bppp/2n1pn2/3p2B1/3P2b1/2PB1N2/PP1N1PPP/R2Q1RK1 b kq - 5 10,"['e8g8', 'd8c7', 'e7d6', 'a8c8', 'a7a6', 'h7h6', 'd8b6', 'a7a5', 'f6h5', 'g4f5']"
g4h5,g4,h5,b,,False,r2q1rk1/pp2bppp/2n1pn2/3p2B1/3P2b1/2PB1N1P/PP1N1PP1/R2Q1RK1 b - - 0 11,"['g4h5', 'g4f5', 'g4f3', 'f6e4', 'f6d7', 'f6e8', 'h7h6', 'e6e5', 'h7h5', 'g4h3']"
a8c8,a8,c8,r,,False,r2q1rk1/pp2bppp/2n1pn2/3p2Bb/3P4/2PB1N1P/PPQN1PP1/R4RK1 b - - 2 12,"['h7h6', 'h5g6', 'a7a6', 'a8c8', 'b7b6', 'a7a5', 'f8e8', 'g8h8', 'a8b8', 'h5f3']"
e7f6,e7,f6,b,B,False,2rq1rk1/pp2bppp/2n1pB2/3p3b/3P4/2PB1N1P/PPQN1PP1/R4RK1 b - - 0 13,"['g7f6', 'e7f6', 'c6b4', 'h5f3', 'h5g6', 'd8c7', 'd8d7', 'd8b6', 'f8e8', 'a7a6']"
g8h8,g8,h8,k,,False,2rq1rk1/pp3ppB/2n1pb2/3p3b/3P4/2P2N1P/PPQN1PP1/R4RK1 b - - 0 14,['g8h8']
c6d4,c6,d4,n,P,False,2rq1r1k/pp3pp1/2n1pb2/3p3b/3P4/2PB1N1P/PPQN1PP1/R4RK1 b - - 2 15,"['c6d4', 'e6e5', 'h5f3', 'c8c7', 'f6e7', 'f8e8', 'c6b4', 'c6e7', 'a7a5', 'd8d7']"
f6d4,f6,d4,b,N,False,2rq1r1k/pp3pp1/4pb2/3p3b/3N4/2PB3P/PPQN1PP1/R4RK1 b - - 0 16,"['f6d4', 'e6e5', 'f6e5', 'c8c7', 'b7b5', 'a7a6', 'd8e7', 'd8b6', 'b7b6', 'h5g4']"
d8h4,d8,h4,q,,False,2rq1r1k/pp3pp1/4p3/3p3b/3b2P1/2PB3P/PPQN1P2/R4RK1 b - - 0 17,"['d8h4', 'd8g5', 'h5g4', 'h5g6', 'd8f6', 'd4c5', 'd4b6', 'a7a6', 'c8c7', 'f7f5']"
h4h3,h4,h3,q,P,False,2r2r1k/pp3pp1/4p3/3p3P/3b3q/2PB3P/PPQN1P2/R4RK1 b - - 0 18,"['h4h3', 'h4g3', 'b7b6', 'c8c5', 'a7a5', 'g7g6', 'b7b5', 'h4h5', 'g7g5', 'f8g8']"
d4b6,d4,b6,b,,False,2r2r1k/pp3pp1/4p3/3p3P/3b4/1NPB3q/PPQ2P2/R4RK1 b - - 1 19,"['h3g4', 'd4b6', 'h3g3', 'd4e5', 'd4c5', 'g7g6', 'c8c3', 'e6e5', 'c8c5', 'f7f6']"
d5d4,d5,d4,p,,False,2r2r1k/pp3pp1/1b2p3/3p3P/8/1NPB3q/PP2QP2/R4RK1 b - - 3 20,"['e6e5', 'h3g3', 'b6c7', 'c8c4', 'c8e8', 'c8c6', 'h8g8', 'd5d4', 'f7f5', 'f8d8']"
a7a5,a7,a5,p,,False,2r2r1k/pp3pp1/1b2p3/7P/2Pp4/1N1B3q/PP2QP2/R4RK1 b - - 0 21,"['b6c7', 'f7f5', 'f8e8', 'c8c6', 'c8e8', 'f8g8', 'c8d8', 'h8g8', 'f7f6', 'g7g6']"
c8c5,c8,c5,r,,False,2r2r1k/1p3pp1/1b2p3/p6P/2Pp4/3B3q/PP1NQP2/R4RK1 b - - 1 22,"['c8c5', 'b6c7', 'b6c5', 'c8e8', 'c8c6', 'f7f5', 'a5a4', 'c8c7', 'f8g8', 'g7g5']"
c5h5,c5,h5,r,P,False,5r1k/1p3pp1/1b2p3/p1r4P/2Pp4/3B1N1q/PP2QP2/R4RK1 b - - 3 23,"['c5h5', 'b6c7', 'h3g4', 'f7f6', 'g7g6', 'f8c8', 'h3h5', 'f8a8', 'f8b8', 'c5f5']"
