Move,From_Sqaure,Target_Sqaure,Piece_Moved,Piece_Captured,Is_Check,FEN,Top_10_Moves
d8g5,d8,g5,Q,,False,3Q2nk/pb5p/8/2p5/5p1N/2P4P/PP3qPK/8 w - - 0 32,"['d8g5', 'b2b4', 'd8d7', 'a2a3', 'b2b3', 'd8c7', 'd8b8', 'c3c4', 'h2h1', 'a2a4']"
g5g3,g5,g3,Q,q,False,6nk/pb5p/8/2p3Q1/5p1N/2P3qP/PP4PK/8 w - - 2 33,"['g5g3', 'h2g1', 'h2h1']"
h2g3,h2,g3,K,p,False,6nk/pb5p/8/2p5/7N/2P3pP/PP4PK/8 w - - 0 34,"['h2g3', 'h2h1', 'h2g1']"
h4f5,h4,f5,N,,False,7k/pb5p/5n2/2p5/7N/2P3KP/PP4P1/8 w - - 1 35,"['h4f5', 'g3f4', 'h4f3', 'g3f2', 'a2a4', 'a2a3', 'c3c4', 'g3h2', 'b2b4', 'b2b3']"
g3h2,g3,h2,K,,False,7k/pb5p/8/2p2N2/4n3/2P3KP/PP4P1/8 w - - 3 36,"['g3f4', 'g3g4', 'g3h4', 'g3f3', 'g3h2']"
a2a3,a2,a3,P,,False,7k/p6p/8/2pb1N2/4n3/2P4P/PP4PK/8 w - - 5 37,"['a2a4', 'a2a3', 'f5g3', 'g2g4', 'g2g3', 'f5e3', 'h2g1', 'b2b4', 'f5e7', 'h3h4']"
g2g4,g2,g4,P,,False,7k/p4b1p/8/2p2N2/4n3/P1P4P/1P4PK/8 w - - 1 38,"['g2g4', 'h3h4', 'f5e3', 'f5h6', 'a3a4', 'h2g1', 'b2b4', 'g2g3', 'f5g3', 'f5h4']"
f5h6,f5,h6,N,,True,6k1/p4b1p/8/2p2N2/4n1P1/P1P4P/1P5K/8 w - - 1 39,"['b2b4', 'f5h4', 'h2g2', 'f5e3', 'f5g3', 'h2g1', 'h2h1', 'f5h6', 'a3a4', 'h3h4']"
h2g2,h2,g2,K,,False,5k2/p4b1p/7N/2p5/4n1P1/P1P4P/1P5K/8 w - - 3 40,"['h6f7', 'h2g1', 'h2h1', 'h3h4', 'h2g2', 'h6f5', 'b2b4', 'c3c4', 'g4g5', 'a3a4']"
h6f5,h6,f5,N,,True,8/p4bkp/7N/2p5/4n1P1/P1P4P/1P4K1/8 w - - 5 41,"['g4g5', 'h6f7', 'h6f5', 'h3h4', 'g2h2', 'g2f3', 'c3c4', 'b2b4', 'b2b3', 'g2g1']"
g2f3,g2,f3,K,,False,8/p4b1p/5k2/2p2N2/4n1P1/P1P4P/1P4K1/8 w - - 7 42,"['f5h6', 'f5g3', 'g2f3', 'g2h2', 'b2b4', 'g2g1', 'g2f1', 'a3a4', 'f5h4', 'h3h4']"
f3e3,f3,e3,K,,False,8/p6p/5k2/2pb1N2/4n1P1/P1P2K1P/1P6/8 w - - 9 43,"['f3e3', 'h3h4', 'f3f4', 'f5e3', 'f3e2', 'c3c4', 'f3g2', 'a3a4', 'b2b4', 'f5g3']"
h3h4,h3,h4,P,,False,8/p6p/5k2/2pb1Nn1/6P1/P1P1K2P/1P6/8 w - - 11 44,"['h3h4', 'b2b4', 'c3c4', 'f5g3', 'e3d2', 'b2b3', 'f5d6', 'f5d4', 'f5h6', 'f5h4']"
e3f4,e3,f4,K,,False,8/p4n1p/5k2/2pb1N2/6PP/P1P1K3/1P6/8 w - - 1 45,"['e3f4', 'b2b4', 'f5g3', 'e3f2', 'a3a4', 'h4h5', 'e3d2', 'e3d3', 'e3e2', 'f5h6']"
f5e3,f5,e3,N,,False,8/p4n1p/5k2/2p2N2/5KPP/PbP5/1P6/8 w - - 3 46,"['f5g3', 'g4g5', 'f4e4', 'f5h6', 'a3a4', 'f5e3', 'c3c4', 'f4g3', 'h4h5', 'f4e3']"
f4f5,f4,f5,K,,False,8/p3kn1p/8/2p5/5KPP/PbP1N3/1P6/8 w - - 5 47,"['f4f5', 'e3f1', 'g4g5', 'e3f5', 'h4h5', 'f4e4', 'c3c4', 'f4f3', 'f4g3', 'e3g2']"
f5e5,f5,e5,K,,False,8/p3k2p/3n4/2p2K2/6PP/PbP1N3/1P6/8 w - - 7 48,"['f5g5', 'f5e5', 'f5f4']"
e5f5,e5,f5,K,,False,8/p3kn1p/8/2p1K3/6PP/PbP1N3/1P6/8 w - - 9 49,"['e5f5', 'e5e4', 'e5f4']"
